post_id,post_url,owner_hashed,is_ai_generated,image_width,image_height,aspect_ratio,megapixels,is_standard_resolution,is_portrait,long_side,tag_count,avg_tag_length,max_tag_length,multiword_tag_ratio,source_type,has_source,score,comment_count,has_notes,has_parent,has_sample,change_hour,change_day_of_week,change_month,_leak_tags_removed
7076032,https://safebooru.org/index.php?page=post&s=view&id=7076032,e285b9008bf6,0,1199,807,1.48575,0.9676,0,0,1199,17,10.765,21,0.529412,twitter,1,,0,0,0,0,17,Friday,August,0
7076017,https://safebooru.org/index.php?page=post&s=view&id=7076017,e285b9008bf6,0,1260,1500,0.84,1.89,0,1,1500,27,9.407,19,0.518519,pixiv,1,,0,0,0,1,17,Friday,August,0
7075364,https://safebooru.org/index.php?page=post&s=view&id=7075364,e285b9008bf6,0,2480,2884,0.859917,7.1523,0,1,2884,68,10.721,25,0.617647,pixiv,1,,0,0,0,1,12,Friday,August,0
7070618,https://safebooru.org/index.php?page=post&s=view&id=7070618,e285b9008bf6,1,1088,1408,0.772727,1.5319,0,1,1408,11,10.182,15,0.545455,paywall,1,,0,0,0,1,18,Wednesday,August,1
7075370,https://safebooru.org/index.php?page=post&s=view&id=7075370,e285b9008bf6,0,643,900,0.714444,0.5787,0,1,900,31,9.806,26,0.548387,other,1,1,0,0,0,0,12,Friday,August,0
7075990,https://safebooru.org/index.php?page=post&s=view&id=7075990,e285b9008bf6,0,2344,3000,0.781333,7.032,0,1,3000,50,9.98,25,0.54,twitter,1,,0,0,0,1,16,Friday,August,0
7069433,https://safebooru.org/index.php?page=post&s=view&id=7069433,e285b9008bf6,0,2480,3496,0.709382,8.6701,0,1,3496,30,11.533,26,0.7,pixiv,1,,0,0,0,1,11,Wednesday,August,0
7075342,https://safebooru.org/index.php?page=post&s=view&id=7075342,e285b9008bf6,0,2830,2702,1.047372,7.6467,0,0,2830,63,10.762,25,0.650794,twitter,1,,0,0,0,1,12,Friday,August,0
7075341,https://safebooru.org/index.php?page=post&s=view&id=7075341,e285b9008bf6,0,1152,729,1.580247,0.8398,1,0,1152,47,11.319,19,0.723404,twitter,1,,0,0,0,0,12,Friday,August,0
7081601,https://safebooru.org/index.php?page=post&s=view&id=7081601,e285b9008bf6,1,1664,2432,0.684211,4.0468,0,1,2432,12,12.833,32,0.416667,twitter,1,,0,0,0,1,15,Sunday,August,1
6626171,https://safebooru.org/index.php?page=post&s=view&id=6626171,e285b9008bf6,1,1800,2372,0.758853,4.2696,0,1,2372,7,16.0,41,0.714286,local_file,1,,0,0,0,1,2,Sunday,April,1
6768776,https://safebooru.org/index.php?page=post&s=view&id=6768776,e285b9008bf6,1,1000,1000,1.0,1.0,0,0,1000,20,8.7,16,0.4,other,1,,0,0,0,0,7,Saturday,May,1
7075336,https://safebooru.org/index.php?page=post&s=view&id=7075336,e285b9008bf6,0,1594,2048,0.77832,3.2645,0,1,2048,58,10.362,26,0.62069,twitter,1,,0,0,0,1,12,Friday,August,0
7069452,https://safebooru.org/index.php?page=post&s=view&id=7069452,e285b9008bf6,0,863,1216,0.709704,1.0494,1,1,1216,79,10.899,27,0.734177,twitter,1,,0,0,0,0,11,Wednesday,August,0
6623681,https://safebooru.org/index.php?page=post&s=view&id=6623681,e285b9008bf6,1,2048,2048,1.0,4.1943,0,0,2048,3,10.333,14,0.333333,local_file,1,,0,0,0,1,9,Saturday,April,2
7058412,https://safebooru.org/index.php?page=post&s=view&id=7058412,e285b9008bf6,1,970,1622,0.598027,1.5733,0,1,1622,24,10.917,23,0.666667,pixiv,1,,0,0,0,0,23,Saturday,August,1
6689044,https://safebooru.org/index.php?page=post&s=view&id=6689044,e285b9008bf6,1,1402,1122,1.249554,1.573,0,0,1402,7,11.714,22,0.571429,local_file,1,,0,0,0,1,4,Thursday,April,1
7075973,https://safebooru.org/index.php?page=post&s=view&id=7075973,e285b9008bf6,0,1600,2430,0.658436,3.888,0,1,2430,45,11.422,29,0.666667,twitter,1,,0,0,0,1,16,Friday,August,0
7069476,https://safebooru.org/index.php?page=post&s=view&id=7069476,e285b9008bf6,0,3000,4000,0.75,12.0,0,1,4000,80,10.338,26,0.6875,twitter,1,,0,0,0,1,12,Wednesday,August,0
7069458,https://safebooru.org/index.php?page=post&s=view&id=7069458,e285b9008bf6,0,2739,3731,0.73412,10.2192,0,1,3731,37,11.432,27,0.702703,pixiv,1,,0,0,0,1,12,Wednesday,August,0
7075389,https://safebooru.org/index.php?page=post&s=view&id=7075389,e285b9008bf6,0,1920,1349,1.423277,2.5901,0,0,1920,81,10.0,19,0.62963,twitter,1,,0,0,0,1,12,Friday,August,0
6878785,https://safebooru.org/index.php?page=post&s=view&id=6878785,e285b9008bf6,1,2457,2595,0.946821,6.3759,0,1,2595,35,9.114,16,0.571429,twitter,1,,0,0,0,1,18,Thursday,June,1
7069431,https://safebooru.org/index.php?page=post&s=view&id=7069431,e285b9008bf6,0,4299,3024,1.421627,13.0002,0,0,4299,92,11.38,26,0.728261,pixiv,1,,0,0,0,1,11,Wednesday,August,0
7069422,https://safebooru.org/index.php?page=post&s=view&id=7069422,e285b9008bf6,0,3237,4317,0.749826,13.9741,0,1,4317,41,10.195,18,0.585366,other,1,,0,0,0,1,11,Wednesday,August,0
7062634,https://safebooru.org/index.php?page=post&s=view&id=7062634,e285b9008bf6,1,960,1280,0.75,1.2288,0,1,1280,31,10.161,20,0.612903,twitter,1,,0,0,0,0,8,Monday,August,1
7069484,https://safebooru.org/index.php?page=post&s=view&id=7069484,e285b9008bf6,0,1536,2048,0.75,3.1457,1,1,2048,25,9.16,18,0.44,twitter,1,,0,0,0,0,12,Wednesday,August,0
7069456,https://safebooru.org/index.php?page=post&s=view&id=7069456,e285b9008bf6,0,1440,2560,0.5625,3.6864,0,1,2560,46,11.174,21,0.630435,pixiv,1,,0,0,0,1,11,Wednesday,August,0
7075418,https://safebooru.org/index.php?page=post&s=view&id=7075418,e285b9008bf6,0,2508,3541,0.708274,8.8808,0,1,3541,43,11.209,24,0.674419,twitter,1,,0,0,0,1,12,Friday,August,0
7076019,https://safebooru.org/index.php?page=post&s=view&id=7076019,e285b9008bf6,0,936,1290,0.725581,1.2074,0,1,1290,51,9.745,19,0.607843,pixiv,1,1,0,0,0,0,17,Friday,August,0
7069439,https://safebooru.org/index.php?page=post&s=view&id=7069439,e285b9008bf6,0,1299,1831,0.709448,2.3785,0,1,1831,21,11.333,49,0.380952,twitter,1,,0,0,0,1,11,Wednesday,August,0
7069402,https://safebooru.org/index.php?page=post&s=view&id=7069402,e285b9008bf6,0,1439,2048,0.702637,2.9471,0,1,2048,32,9.156,19,0.5,twitter,1,,0,0,0,1,11,Wednesday,August,0
7068580,https://safebooru.org/index.php?page=post&s=view&id=7068580,e285b9008bf6,1,1024,1536,0.666667,1.5729,1,1,1536,3,6.0,7,0.0,other,1,,0,0,0,0,3,Wednesday,August,2
7075984,https://safebooru.org/index.php?page=post&s=view&id=7075984,e285b9008bf6,0,2250,2250,1.0,5.0625,0,0,2250,29,11.172,18,0.724138,other,1,,0,0,0,1,16,Friday,August,0
7069408,https://safebooru.org/index.php?page=post&s=view&id=7069408,e285b9008bf6,0,3605,2894,1.245681,10.4329,0,0,3605,44,10.295,19,0.636364,twitter,1,1,0,0,0,1,11,Wednesday,August,0
7039256,https://safebooru.org/index.php?page=post&s=view&id=7039256,e285b9008bf6,1,960,1537,0.624593,1.4755,0,1,1537,7,18.429,33,0.714286,twitter,1,,0,0,0,0,22,Sunday,August,1
6930720,https://safebooru.org/index.php?page=post&s=view&id=6930720,e285b9008bf6,1,1187,1326,0.895173,1.574,0,1,1326,40,10.5,39,0.625,local_file,1,,0,0,0,1,2,Sunday,July,1
7069465,https://safebooru.org/index.php?page=post&s=view&id=7069465,e285b9008bf6,0,700,1058,0.661626,0.7406,0,1,1058,24,10.333,28,0.666667,pixiv,1,,0,0,0,0,12,Wednesday,August,0
7058413,https://safebooru.org/index.php?page=post&s=view&id=7058413,e285b9008bf6,1,986,1594,0.61857,1.5717,0,1,1594,27,10.926,25,0.62963,pixiv,1,1,0,0,0,0,23,Saturday,August,1
7069457,https://safebooru.org/index.php?page=post&s=view&id=7069457,e285b9008bf6,0,873,1129,0.773251,0.9856,0,1,1129,43,10.698,27,0.697674,twitter,1,,0,0,0,0,11,Wednesday,August,0
7065923,https://safebooru.org/index.php?page=post&s=view&id=7065923,e285b9008bf6,1,1197,1798,0.66574,2.1522,0,1,1798,60,11.35,42,0.683333,other,1,,0,0,0,1,8,Tuesday,August,1
7076005,https://safebooru.org/index.php?page=post&s=view&id=7076005,e285b9008bf6,0,5200,7200,0.722222,37.44,0,1,7200,25,10.56,18,0.64,other,1,,0,0,0,1,16,Friday,August,0
7075361,https://safebooru.org/index.php?page=post&s=view&id=7075361,e285b9008bf6,0,1815,2218,0.818305,4.0257,0,1,2218,35,11.086,18,0.685714,other,1,,0,0,0,1,12,Friday,August,0
7069425,https://safebooru.org/index.php?page=post&s=view&id=7069425,e285b9008bf6,0,1536,1400,1.097143,2.1504,1,0,1536,26,10.462,18,0.653846,twitter,1,,0,0,0,1,11,Wednesday,August,0
6724238,https://safebooru.org/index.php?page=post&s=view&id=6724238,e285b9008bf6,1,1736,1736,1.0,3.0137,0,0,1736,31,12.226,25,0.741935,paywall,1,,0,0,0,1,17,Sunday,May,1
6768753,https://safebooru.org/index.php?page=post&s=view&id=6768753,e285b9008bf6,1,1000,1000,1.0,1.0,0,0,1000,17,11.706,28,0.529412,other,1,,0,0,0,0,7,Saturday,May,1
7076020,https://safebooru.org/index.php?page=post&s=view&id=7076020,e285b9008bf6,0,1024,1446,0.70816,1.4807,1,1,1446,11,15.455,31,0.909091,other,1,,0,0,0,0,17,Friday,August,0
6775596,https://safebooru.org/index.php?page=post&s=view&id=6775596,e285b9008bf6,1,832,1248,0.666667,1.0383,1,1,1248,6,11.167,18,0.5,other,1,,0,0,0,0,12,Monday,May,1
7075979,https://safebooru.org/index.php?page=post&s=view&id=7075979,e285b9008bf6,0,3000,2000,1.5,6.0,0,0,3000,22,10.455,18,0.636364,twitter,1,,0,0,0,1,16,Friday,August,0
7075419,https://safebooru.org/index.php?page=post&s=view&id=7075419,e285b9008bf6,0,1592,2048,0.777344,3.2604,0,1,2048,25,10.04,17,0.56,twitter,1,1,0,0,0,1,12,Friday,August,0
7024691,https://safebooru.org/index.php?page=post&s=view&id=7024691,e285b9008bf6,1,1048,1501,0.698201,1.573,0,1,1501,35,10.457,25,0.657143,twitter,1,,0,0,0,0,14,Wednesday,August,1
7075350,https://safebooru.org/index.php?page=post&s=view&id=7075350,e285b9008bf6,0,937,778,1.20437,0.729,0,0,937,55,11.0,19,0.672727,twitter,1,,0,0,0,0,12,Friday,August,0
7075949,https://safebooru.org/index.php?page=post&s=view&id=7075949,e285b9008bf6,0,1000,1500,0.666667,1.5,0,1,1500,29,10.931,28,0.586207,twitter,1,,0,0,0,0,16,Friday,August,0
7083006,https://safebooru.org/index.php?page=post&s=view&id=7083006,e285b9008bf6,1,832,1216,0.684211,1.0117,1,1,1216,2,10.5,14,0.5,local_file,1,,0,0,0,0,2,Monday,August,2
7075429,https://safebooru.org/index.php?page=post&s=view&id=7075429,e285b9008bf6,0,1456,2048,0.710938,2.9819,0,1,2048,36,10.444,18,0.694444,twitter,1,1,0,0,0,1,12,Friday,August,0
7075339,https://safebooru.org/index.php?page=post&s=view&id=7075339,e285b9008bf6,0,1312,2048,0.640625,2.687,0,1,2048,52,10.212,27,0.615385,twitter,1,,0,0,0,0,12,Friday,August,0
7076007,https://safebooru.org/index.php?page=post&s=view&id=7076007,e285b9008bf6,0,900,1125,0.8,1.0125,0,1,1125,29,9.138,18,0.517241,art_platform,1,,0,0,0,0,16,Friday,August,0
7075356,https://safebooru.org/index.php?page=post&s=view&id=7075356,e285b9008bf6,0,2000,4445,0.449944,8.89,0,1,4445,42,9.095,22,0.52381,pixiv,1,,0,0,0,1,12,Friday,August,0
7069451,https://safebooru.org/index.php?page=post&s=view&id=7069451,e285b9008bf6,0,2508,3541,0.708274,8.8808,0,1,3541,38,9.553,18,0.578947,pixiv,1,,0,0,0,1,11,Wednesday,August,0
7075969,https://safebooru.org/index.php?page=post&s=view&id=7075969,e285b9008bf6,0,911,1296,0.702932,1.1807,0,1,1296,25,11.36,24,0.6,twitter,1,,0,0,0,0,16,Friday,August,0
6717330,https://safebooru.org/index.php?page=post&s=view&id=6717330,e285b9008bf6,1,2752,1536,1.791667,4.2271,1,0,2752,24,10.083,37,0.458333,pixiv,1,,0,0,0,1,15,Friday,May,1
6973341,https://safebooru.org/index.php?page=post&s=view&id=6973341,e285b9008bf6,1,1169,1967,0.594306,2.2994,0,1,1967,30,10.767,23,0.6,twitter,1,,0,0,0,0,6,Sunday,July,1
7069400,https://safebooru.org/index.php?page=post&s=view&id=7069400,e285b9008bf6,0,1200,2340,0.512821,2.808,0,1,2340,34,9.676,21,0.588235,pixiv,1,,0,0,0,1,11,Wednesday,August,0
7069459,https://safebooru.org/index.php?page=post&s=view&id=7069459,e285b9008bf6,0,3277,4096,0.800049,13.4226,0,1,4096,32,9.75,19,0.5,twitter,1,,0,0,0,1,12,Wednesday,August,0
7075362,https://safebooru.org/index.php?page=post&s=view&id=7075362,e285b9008bf6,0,1365,2048,0.666504,2.7955,0,1,2048,60,10.2,20,0.633333,twitter,1,,0,0,0,1,12,Friday,August,0
7058419,https://safebooru.org/index.php?page=post&s=view&id=7058419,e285b9008bf6,1,1024,1536,0.666667,1.5729,1,1,1536,24,10.917,23,0.666667,pixiv,1,1,0,0,0,0,23,Saturday,August,1
6771560,https://safebooru.org/index.php?page=post&s=view&id=6771560,e285b9008bf6,1,896,1152,0.777778,1.0322,1,1,1152,16,11.125,25,0.5,twitter,1,,0,0,0,0,4,Sunday,May,2
6726258,https://safebooru.org/index.php?page=post&s=view&id=6726258,e285b9008bf6,1,1152,2016,0.571429,2.3224,1,1,2016,26,9.808,17,0.653846,twitter,1,,0,0,0,0,9,Monday,May,1
6700641,https://safebooru.org/index.php?page=post&s=view&id=6700641,e285b9008bf6,1,832,1216,0.684211,1.0117,1,1,1216,38,11.579,31,0.631579,twitter,1,,0,0,0,0,11,Sunday,April,1
7076024,https://safebooru.org/index.php?page=post&s=view&id=7076024,e285b9008bf6,0,3307,4677,0.707077,15.4668,0,1,4677,25,10.64,19,0.6,pixiv,1,,0,0,0,1,17,Friday,August,0
7076025,https://safebooru.org/index.php?page=post&s=view&id=7076025,e285b9008bf6,0,1505,2085,0.721823,3.1379,0,1,2085,40,8.875,19,0.55,pixiv,1,,0,0,0,1,17,Friday,August,0
7069437,https://safebooru.org/index.php?page=post&s=view&id=7069437,e285b9008bf6,0,1299,1831,0.709448,2.3785,0,1,1831,28,12.5,49,0.571429,twitter,1,,0,0,0,1,11,Wednesday,August,0
6646179,https://safebooru.org/index.php?page=post&s=view&id=6646179,e285b9008bf6,1,2048,3072,0.666667,6.2915,0,1,3072,40,11.125,25,0.65,twitter,1,2,0,0,0,1,3,Saturday,April,2
6884756,https://safebooru.org/index.php?page=post&s=view&id=6884756,e285b9008bf6,1,1600,1600,1.0,2.56,0,0,1600,18,14.056,30,0.777778,twitter,1,,0,0,0,1,18,Saturday,June,1
7069403,https://safebooru.org/index.php?page=post&s=view&id=7069403,e285b9008bf6,0,2607,3814,0.683534,9.9431,0,1,3814,29,9.828,19,0.655172,twitter,1,,0,0,0,1,11,Wednesday,August,0
7083705,https://safebooru.org/index.php?page=post&s=view&id=7083705,e285b9008bf6,1,768,1280,0.6,0.983,1,1,1280,27,10.593,23,0.518519,pixiv,1,,0,0,0,0,9,Monday,August,1
6806483,https://safebooru.org/index.php?page=post&s=view&id=6806483,e285b9008bf6,1,2048,2048,1.0,4.1943,0,0,2048,8,11.25,18,0.5,pixiv,1,,0,0,0,1,2,Thursday,May,1
